1527,0,746,4,0,1,0
2847,1,594,4,0,1,0
2847,0,578,5,1,1,0
2048,0,767,5,1,1,0
622,1,905,6,0,1,0
872,0,622,6,2,1,0
297,0,1252,7,1,1,1
4159,0,726,6,2,1,0
872,1,672,8,4,1,0
3977,0,1073,8,2,1,0
622,0,970,7,1,1,0
2834,1,752,5,1,1,1
4152,2,1481,10,0,1,0
4635,1,1831,14,5,1,1
288,1,622,8,3,1,0
3823,2,2495,18,4,1,0
2834,0,700,6,2,1,0
2548,2,875,8,3,1,0
4159,1,1699,18,10,1,2
173,0,2263,21,13,1,4
872,2,841,7,3,1,1
4159,2,1494,14,7,1,2
622,2,4486,31,9,1,4
2048,1,7091,49,19,1,10
1527,1,4698,29,16,1,11
4152,1,5317,50,23,1,5
288,2,1637,13,5,1,2
2834,2,1530,10,4,1,2
45,0,2885,24,7,1,1
297,1,751,4,0,1,0
2048,2,730,4,0,1,0
173,1,3083,35,25,1,7
3977,1,1931,12,2,1,1
2847,2,1608,10,2,1,2
3977,2,1898,14,4,1,1
4635,0,8298,64,31,1,12
2548,1,2307,21,9,1,2
288,0,5183,47,24,1,9
4635,2,2063,21,12,1,2
173,2,2116,25,17,1,4
2245,1,6054,57,30,1,7
3823,3,8246,52,7,1,4
1527,2,7937,61,39,1,20
45,2,1770,12,1,1,0
3823,1,16342,118,32,1,11
1527,3,673,4,0,1,0
4159,3,692,10,6,1,0
297,2,700,5,1,1,0
3823,0,11774,103,40,1,8
622,3,3066,24,9,1,2
2245,2,2843,26,12,1,2
3906,1,790,11,6,1,1
2834,3,800,6,2,1,0
3906,2,4838,65,41,1,9
872,3,1670,16,9,1,2
3906,0,728,8,3,1,0
4152,0,18902,150,55,1,21
173,3,1272,9,3,1,1
2245,0,6229,58,30,1,7
297,3,1276,13,7,1,1
622,4,1018,6,0,1,0
2847,3,2331,19,8,1,3
2834,4,701,5,1,1,0
288,3,1496,12,4,1,2
4159,4,720,6,2,1,0
872,4,685,6,2,1,0
2548,0,1104,14,7,1,1
1527,4,1778,8,1,1,2
297,4,676,4,0,1,0
288,4,1304,8,1,1,1
2048,4,1304,9,3,1,1
45,3,5851,37,7,1,5
4635,3,5105,36,13,1,6
2847,4,748,4,0,1,0
4635,4,2654,16,4,1,3
45,1,18486,124,35,1,22
173,4,1699,19,12,1,2
2048,3,4933,45,24,1,8
45,4,1766,14,3,1,0
3977,4,5763,32,4,1,6
2245,4,3103,25,8,1,2
840,2,12357,155,107,1,23
3823,4,12309,88,24,1,9
3906,3,5594,69,40,1,9
3906,4,732,6,1,1,0
3977,3,1984,22,12,1,2
4152,4,32574,233,72,1,40
2245,3,10717,82,32,1,11
2548,4,2257,17,7,1,2
4152,3,45349,376,151,1,51
2548,3,9139,78,35,1,12
840,3,22307,273,188,1,42
840,1,50594,629,439,0,100
886,1,19590,478,448,0,100
840,0,47792,602,424,1,92
840,4,43905,537,373,1,86
886,0,19979,486,457,0,100
886,2,20870,502,464,0,100
886,3,21825,498,463,0,100
886,4,22077,494,455,0,100
