2847,0,541,4,0,1,0
2048,0,615,4,0,1,0
622,0,898,7,1,1,0
2847,1,612,5,1,1,0
2048,1,670,4,0,1,0
4159,1,490,5,1,1,0
1527,1,788,6,2,1,0
622,1,925,10,4,1,0
3977,1,943,8,2,1,0
1527,0,2441,13,3,1,3
4159,0,633,4,0,1,0
173,1,665,8,4,1,0
297,0,1164,11,5,1,1
2834,1,1167,12,6,1,1
872,1,1366,23,16,1,1
297,1,1316,19,11,1,2
4152,0,5475,48,19,1,6
288,1,2311,19,6,1,3
4635,0,5169,51,28,1,8
4159,2,628,6,2,1,0
173,0,2053,22,15,1,5
4635,1,4017,30,13,1,5
2548,0,1948,25,13,1,2
1527,2,1954,11,4,1,4
2834,0,4159,47,31,1,7
872,0,2352,25,15,1,3
3977,0,2934,30,13,1,4
2048,2,928,6,0,1,1
297,2,800,8,4,1,0
872,2,632,5,1,1,0
3823,2,12872,90,19,1,7
2245,0,2884,33,18,1,3
3977,2,1023,8,2,1,0
173,2,636,7,3,1,0
622,2,3916,29,8,1,3
288,0,1172,8,2,1,1
3906,2,673,6,1,1,0
4635,2,2638,23,11,1,3
2834,2,671,4,0,1,0
2847,2,882,8,3,1,1
45,0,6686,47,11,1,6
2245,1,2934,22,6,1,1
872,3,677,5,1,1,0
622,3,875,7,1,1,0
4159,3,616,5,1,1,0
288,3,575,5,0,1,0
840,2,4178,53,37,1,8
3823,1,8978,67,18,1,5
2834,3,679,8,4,1,0
2245,2,3885,34,14,1,2
45,1,13329,100,36,1,12
4635,3,1021,9,3,1,0
1527,3,2404,19,10,1,4
297,3,755,5,1,1,0
173,3,1337,20,13,1,1
2847,3,1031,13,7,1,1
2048,3,2632,25,12,1,4
45,2,6823,52,14,1,5
3906,1,1753,29,19,1,3
288,2,6004,49,21,1,11
3823,4,9042,68,13,1,4
840,1,10978,157,110,1,22
622,4,1958,15,5,1,2
886,3,1199,18,12,1,1
872,4,993,4,0,1,2
3906,4,980,9,3,1,1
3823,3,9501,78,25,1,6
2834,4,693,6,2,1,0
3977,3,2287,23,11,1,3
1527,4,2857,17,7,1,5
173,4,584,4,0,1,0
2048,4,1412,13,6,1,1
2847,4,707,5,1,1,0
297,4,764,5,1,1,0
4635,4,1127,9,3,1,1
3906,3,714,10,5,1,0
4159,4,1659,23,14,1,2
3977,4,2092,14,2,1,2
288,4,2558,23,10,1,3
4152,4,8313,69,27,1,9
2548,4,1015,9,4,1,1
2245,3,6123,69,39,1,6
2245,4,3310,41,27,1,6
840,4,4149,59,42,1,8
886,4,1882,43,36,1,6
3823,0,54362,407,111,1,42
45,4,24341,177,52,1,28
840,3,11625,153,107,1,23
3906,0,2016,21,10,1,4
45,3,33055,245,80,1,37
840,0,23689,342,246,1,51
4152,3,61600,531,224,1,82
2548,3,710,6,1,1,0
4152,2,73125,654,274,0,100
2548,2,844,7,2,1,0
4152,1,75902,666,275,0,100
2548,1,729,9,4,1,0
886,1,17816,497,463,0,100
886,0,18075,491,453,0,100
886,2,22045,536,484,0,100
